2025-03-06 14:18:56 : INFO : (2352 | DIRECTOR) : (IS | IS) : node01 : TM_6014 : Initializing session [s_m_q2] at [Thu Mar 06 14:18:56 2025].
2025-03-06 14:18:56 : INFO : (2352 | DIRECTOR) : (IS | IS) : node01 : TM_6683 : Repository Name: [REP]
2025-03-06 14:18:56 : INFO : (2352 | DIRECTOR) : (IS | IS) : node01 : TM_6684 : Server Name: [IS]
2025-03-06 14:18:56 : INFO : (2352 | DIRECTOR) : (IS | IS) : node01 : TM_6686 : Folder: [Test]
2025-03-06 14:18:56 : INFO : (2352 | DIRECTOR) : (IS | IS) : node01 : TM_6685 : Workflow: [wf_db_conn_q2] Run Instance Name: [] Run Id: [53]
2025-03-06 14:18:56 : INFO : (2352 | DIRECTOR) : (IS | IS) : node01 : TM_6992 : Operating System Type [NT]
2025-03-06 14:18:56 : INFO : (2352 | DIRECTOR) : (IS | IS) : node01 : TM_6101 : Mapping name: m_q2.
2025-03-06 14:18:56 : INFO : (2352 | DIRECTOR) : (IS | IS) : node01 : TM_6964 : Date format for the Session is [MM/DD/YYYY HH24:MI:SS.US]
2025-03-06 14:18:56 : INFO : (2352 | DIRECTOR) : (IS | IS) : node01 : TM_6708 : Using configuration property [EnableDataEncryption,no]
2025-03-06 14:18:56 : INFO : (2352 | DIRECTOR) : (IS | IS) : node01 : TM_6708 : Using configuration property [StoreHAPersistenceInDB,no]
2025-03-06 14:18:56 : INFO : (2352 | DIRECTOR) : (IS | IS) : node01 : TM_6703 : Session [s_m_q2] is run by 64-bit Integration Service  [node01], version [10.5.2], build [0322].
2025-03-06 14:18:56 : INFO : (2352 | MANAGER) : (IS | IS) : node01 : PETL_24091 : Thread [MANAGER] has the ID [1].
2025-03-06 14:18:56 : INFO : (2352 | MANAGER) : (IS | IS) : node01 : PETL_24058 : Running Partition Group [1].
2025-03-06 14:18:56 : INFO : (2352 | MANAGER) : (IS | IS) : node01 : PETL_24000 : Parallel Pipeline Engine initializing.
2025-03-06 14:18:56 : INFO : (2352 | MONITOR) : (IS | IS) : node01 : PETL_24091 : Thread [MONITOR] has the ID [2].
2025-03-06 14:18:56 : INFO : (2352 | MANAGER) : (IS | IS) : node01 : PETL_24001 : Parallel Pipeline Engine running.
2025-03-06 14:18:56 : INFO : (2352 | MANAGER) : (IS | IS) : node01 : PETL_24003 : Initializing session run.
2025-03-06 14:18:56 : INFO : (2352 | MAPPING) : (IS | IS) : node01 : PETL_24091 : Thread [MAPPING] has the ID [3].
2025-03-06 14:18:56 : INFO : (2352 | MAPPING) : (IS | IS) : node01 : CMN_1569 : Server Mode: [ASCII]
2025-03-06 14:18:56 : INFO : (2352 | MAPPING) : (IS | IS) : node01 : CMN_1570 : Server Code page: [MS Windows Latin 1 (ANSI), superset of Latin1]
2025-03-06 14:18:56 : INFO : (2352 | MAPPING) : (IS | IS) : node01 : TM_6151 : The session sort order is [Binary].
2025-03-06 14:18:56 : INFO : (2352 | MAPPING) : (IS | IS) : node01 : CMN_65110 : Current Timezone:[UTC +5:30]
2025-03-06 14:18:56 : INFO : (2352 | MAPPING) : (IS | IS) : node01 : CMN_65112 : Current Process ID:[2352]
2025-03-06 14:18:56 : INFO : (2352 | MAPPING) : (IS | IS) : node01 : TM_6156 : Using low precision processing.
2025-03-06 14:18:56 : INFO : (2352 | MAPPING) : (IS | IS) : node01 : TM_6180 : Deadlock retry logic will not be implemented.
2025-03-06 14:18:56 : INFO : (2352 | MAPPING) : (IS | IS) : node01 : TM_6187 : Session target-based commit interval is [10000].
2025-03-06 14:18:56 : INFO : (2352 | MAPPING) : (IS | IS) : node01 : TM_6307 : DTM error log disabled. 
2025-03-06 14:18:56 : INFO : (2352 | MAPPING) : (IS | IS) : node01 : TE_7022 : TShmWriter: Initialized
2025-03-06 14:18:56 : INFO : (2352 | MAPPING) : (IS | IS) : node01 : TM_6007 : DTM initialized successfully for session [s_m_q2]
2025-03-06 14:18:56 : INFO : (2352 | DIRECTOR) : (IS | IS) : node01 : PETL_24033 : All DTM Connection Info: [<NONE>].
2025-03-06 14:18:56 : INFO : (2352 | MANAGER) : (IS | IS) : node01 : PETL_24004 : PETL_24004 Starting pre-session tasks. : (Thu Mar 06 14:18:56 2025)
2025-03-06 14:18:56 : INFO : (2352 | PRE-SESS) : (IS | IS) : node01 : PETL_24091 : Thread [PRE-SESS] has the ID [4].
2025-03-06 14:18:56 : INFO : (2352 | MANAGER) : (IS | IS) : node01 : PETL_24027 : PETL_24027 Pre-session task completed successfully. : (Thu Mar 06 14:18:56 2025)
2025-03-06 14:18:56 : INFO : (2352 | DIRECTOR) : (IS | IS) : node01 : PETL_24006 : Starting data movement.
2025-03-06 14:18:56 : INFO : (2352 | MAPPING) : (IS | IS) : node01 : TM_6660 : Total Buffer Pool size is 609824 bytes and Block size is 65536 bytes.
2025-03-06 14:18:56 : INFO : (2352 | READER_1_1_1) : (IS | IS) : node01 : PETL_24091 : Thread [READER_1_1_1] has the ID [5].
2025-03-06 14:18:56 : INFO : (2352 | READER_1_1_1) : (IS | IS) : node01 : DBG_21437 : Reader: Source is a file-based source.
2025-03-06 14:18:56 : INFO : (2352 | READER_1_1_1) : (IS | IS) : node01 : FR_3118 : source [SQ_Bank_Data_file_1] code page: [MS Windows Latin 1 (ANSI), superset of Latin1]
2025-03-06 14:18:56 : INFO : (2352 | READER_1_1_1) : (IS | IS) : node01 : FR_3071 : Maximum Line sequential buffer length is 1026.
2025-03-06 14:18:56 : INFO : (2352 | READER_1_1_1) : (IS | IS) : node01 : BLKR_16003 : Initialization completed successfully.
2025-03-06 14:18:56 : INFO : (2352 | WRITER_1_*_1) : (IS | IS) : node01 : PETL_24091 : Thread [WRITER_1_*_1] has the ID [6].
2025-03-06 14:18:56 : INFO : (2352 | WRITER_1_*_1) : (IS | IS) : node01 : WRT_8146 : Writer: Target is Database [orcl], Type [Oracle], User [system], Bulk Mode [ON]
2025-03-06 14:18:56 : INFO : (2352 | WRITER_1_*_1) : (IS | IS) : node01 : WRT_8106 : Warning! Bulk Mode session - recovery is not guaranteed.
2025-03-06 14:18:56 : INFO : (2352 | WRITER_1_*_1) : (IS | IS) : node01 : WRT_8124 : Target Table CUSTOMER :SQL INSERT statement:
INSERT INTO CUSTOMER(CUSTOMER_ID,CUSTOMER_FIRST_NAME,CUSTOMER_LAST_NAME,EMAIL,GENDER,DOB,SSN,MOBILE,COUNTRY,ACCOUNT_NUMBER,ACCOUNT_OPENING_DATE,CURRENT_BALANCE)  VALUES ( ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?) 
2025-03-06 14:18:56 : INFO : (2352 | WRITER_1_*_1) : (IS | IS) : node01 : WRT_8020 : No column marked as primary key for table [CUSTOMER]. UPDATEs Not Supported.
2025-03-06 14:18:56 : INFO : (2352 | WRITER_1_*_1) : (IS | IS) : node01 : WRT_8270 : Target connection group #1 consists of target(s) [CUSTOMER]
2025-03-06 14:18:56 : INFO : (2352 | WRITER_1_*_1) : (IS | IS) : node01 : WRT_8003 : Writer initialization complete.
2025-03-06 14:18:56 : INFO : (2352 | READER_1_1_1) : (IS | IS) : node01 : BLKR_16007 : Reader run started.
2025-03-06 14:18:56 : INFO : (2352 | WRITER_1_*_1) : (IS | IS) : node01 : WRT_8005 : Writer run started.
2025-03-06 14:18:56 : INFO : (2352 | WRITER_1_*_1) : (IS | IS) : node01 : WRT_8158 : 

*****START LOAD SESSION*****

Load Start Time: Thu Mar 06 14:18:56 2025

Target tables:

     CUSTOMER


2025-03-06 14:18:56 : INFO : (2352 | READER_1_1_1) : (IS | IS) : node01 : FR_3076 : Skipped over [1] lines.
2025-03-06 14:18:56 : INFO : (2352 | READER_1_1_1) : (IS | IS) : node01 : DBG_21430 : DBG_21430 Reading data from input source file [C:\Users\Administrator\Downloads\Banking_HandsOnExercises\Bank_Data_file_1.csv] : (Thu Mar 06 14:18:56 2025)
